branch,repo,source_branch
newsfeed,newsfeed,master
chathall,chathall,master
queryCreator,queryCreator,master
mdb,mdb,master
magazine-rails,magazine-rails,master
ngAuth,ngAuth,master
ds-algo,ds-algo,modularized
redux-react-blog,redux-react-blog,master
switcher,switcher,master
playlist-graphql,playlist-graphql,master
hackernews,hackernews,master
simple-express-mongo-passport,simple-express-mongo-passport,master
location-share-web-app,location-share-web-app,master
angular-dropdown,angular-dropdown,master
nodejs-net-chat,nodejs-net-chat,tcp-data
youtube-music,youtube-music,master
rdspec,rdspec,master
alpine,alpine,master
grpc_api,grpc_api,master
utility,utility,master
visualizers,visualizers,master
reviews,reviews,master
pdfsj,pdfsj,master
spell-checker,spell-checker,main
logger,logger,master
curelife,curelife,master
desktopfiles,desktopfiles,master
brainiac,brainiac,master
scratchpad,scratchpad,master
formfactor,formfactor,main
fbrowser,fbrowser,master
knockknock,knockknock,master
remux,remux,master
music-recommender,music-recommender,master
grunts,grunts,master
